company_id,company_name,industry,description,source,website,place_id
940,Camp McKean,"campground, park, lodging, point_of_interest, establishment","Bremerton, WA 98312, USA",google_places,http://kitsap.navylifepnw.com/programs/3f1043a8-bf91-4216-9e7f-eabdfb094caa,ChIJK0vtjtA2kFQRbaoFnVfubXc
941,Ramada by Wyndham SeaTac Airport,"lodging, point_of_interest, establishment","16720 International Blvd, SeaTac, WA 98188, USA",google_places,https://www.wyndhamhotels.com/ramada/sea-tac-washington/ramada-suites-seatac-airport/overview?CID=LC:wmcic5n98gs1g0r:10919&iata=00093796,ChIJu8-nEE1DkFQRmqI7OYC0fUI
944,Gilchrist Chevrolet of Port Orchard,"car_dealer, car_repair, store, point_of_interest, establishment","4949 SW Hovde Rd, Port Orchard, WA 98367, USA",google_places,http://www.chevroletofportorchard.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_sales_websitelink,ChIJ9QBc6edJkFQRbKiBsQ2I0HA
945,CarHop Auto Sales and Finance,"car_dealer, store, point_of_interest, establishment","6001 Auto Center Way, Bremerton, WA 98312, USA",google_places,http://www.carhopofbremerton.com/?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness,ChIJwwW5wiE3kFQR1FXkv7I-ShU
95,Nue,"bar, restaurant, point_of_interest, food, establishment",,google_places,http://www.nueseattle.com/,ChIJz91V-s1qkFQRTaAOUkM_jKo
110,Outback Steakhouse,"bar, meal_takeaway, restaurant, point_of_interest, food, establishment",,google_places,https://locations.outback.com/washington/everett/10121-evergreen-way?utm_source=gmb&utm_medium=local_search&utm_campaign=website_cta&y_source=1_MTU1MDI2MjUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,ChIJ__ib0coGkFQRD-UEnubLFvc
111,Bar Harbor,"bar, restaurant, point_of_interest, food, establishment",,google_places,http://www.barharbormaine.gov/,ChIJkyWAFUi-rkwRG9nKKGUa6Yg
736,Adara Salon,"beauty_salon, point_of_interest, establishment","3381 NW Bucklin Hill Rd, Silverdale, WA 98383, USA",google_places,http://www.adarasalonwa.com/,ChIJq6p--c47kFQRYb4EuP-JzNU
740,Seaport Salon Spa,"spa, beauty_salon, hair_care, health, point_of_interest, establishment","9130 Washington Ave NW, Silverdale, WA 98383, USA",google_places,http://www.seaportsalon.com/,ChIJEza9uZA6kFQRpy8joXoK_Bo
746,Ulta Beauty,"beauty_salon, hair_care, store, point_of_interest, establishment","11066 Pacific Crest Pl Suite A-120, Silverdale, WA 98383, USA",google_places,https://www.ulta.com/stores/silverdale-wa-1133,ChIJuS_9wMc6kFQRZL37fuv3afw
750,Mane & Co.,"beauty_salon, point_of_interest, establishment","1616 SE Ellis Ct, Port Orchard, WA 98367, USA",google_places,http://manecobeauty.com/,ChIJi_WId9lJkFQRXVREVvmgxCw
753,@Rockway Salon - French Stylist,"beauty_salon, point_of_interest, establishment","300 High School Rd NE UNIT 100, Bainbridge Island, WA 98110, USA",google_places,https://rockwaysalon.square.site/,ChIJoULx3LY_kFQRw9yx28a_szg
755,Northwest Hair Studio - Bremerton,"beauty_salon, hair_care, point_of_interest, establishment","1007 Scott Ave Unit C, Bremerton, WA 98310, USA",google_places,http://www.nwhairstudio.com/,ChIJMw0Eq3M3kFQRsZyrbQbnaPU
756,Touch of beauty,"hair_care, spa, beauty_salon, point_of_interest, establishment","Eastside plaza, 4171 Wheaton Wy # 2, Bremerton, WA 98310, USA",google_places,http://www.touchofbeauty.info/,ChIJVSEiVoY5kFQRXhPbhu5Jcks
761,Third Dimension Salon,"beauty_salon, hair_care, point_of_interest, health, establishment","1456 Olney Ave SE #103, Port Orchard, WA 98366, USA",google_places,http://thirddimensionsalon.com/,ChIJ2Q1Ahec3kFQRFWnujI4_QQ8
767,Precision Beauty,"beauty_salon, point_of_interest, establishment","1102 Scott Ave Suite 103, Bremerton, WA 98310, USA",google_places,http://precisionbeautyllc.com/,ChIJybLekuQ7kFQRWgNJ97PFJdE
771,Mai Salon,"beauty_salon, point_of_interest, establishment","2130 6th St, Bremerton, WA 98312, USA",google_places,https://maisalonllc.com/,ChIJ-5oiry83kFQRNWkZq1cQRU4
776,Trends Hair Salon,"beauty_salon, point_of_interest, establishment","3418 Perry Ave NE, Bremerton, WA 98310, USA",google_places,http://www.bremertonhairsalon.com/,ChIJ92XgUJM5kFQRGeGLvenm4iI
780,Barber & Beauty Lounge by Consele,"hair_care, beauty_salon, health, point_of_interest, establishment","717 And, 719 Pacific Ave, Bremerton, WA 98337, USA",google_places,http://www.theloungebyconsele.com/,ChIJKYBQP3k3kFQRd_0ilLNCs8E
783,Magnolia Rose Beauty Co.,"beauty_salon, point_of_interest, establishment","6722 Kitsap Way, Bremerton, WA 98312, USA",google_places,https://linktr.ee/magnoliarosebeautyco_kitsap?fbclid=PAZXh0bgNhZW0CMTEAAaZxiyS-bhQMhiAsZPfiSr43PeLhA3DGwSEQ6Kv4gsrC0bGFCXlPPaFLUKg_aem_CqNtvDv1ZJq6Onruzfvf1A,ChIJaUX-q7Q3kFQRTpbO_aAia_4
796,Gregg's Greenlake Cycle,"bicycle_store, point_of_interest, store, establishment","7007 Woodlawn Ave NE, Seattle, WA 98115, USA",google_places,https://www.greggscycles.com/,ChIJfx2M_mwUkFQR-PlDF6cSxcQ
800,Gregg's Bellevue Cycle,"bicycle_store, point_of_interest, store, establishment","105 Bellevue Way NE, Bellevue, WA 98004, USA",google_places,https://www.greggscycles.com/,ChIJw1LMZIdskFQRB064zYMhZs4
802,Bothell Ski & Bike,"bicycle_store, point_of_interest, store, establishment","8020 NE Bothell Way, Kenmore, WA 98028, USA",google_places,http://www.bikesale.com/,ChIJnf_sxxQOkFQRMddjk2rYjH0
176,Brewtop Social,"bar, restaurant, point_of_interest, food, establishment","17801 International Blvd #1-MZ, Seattle, WA 98158, USA",google_places,,
192,Jashn,"restaurant, point_of_interest, food, establishment","7325 166th Ave NE F142, Redmond, WA 98052, USA",google_places,,
168,The Ivy,"bar, night_club, restaurant, point_of_interest, food, establishment","5512 17th Ave NW, Seattle, WA 98107, USA",google_places,https://www.theivyseattle.com/,ChIJBexJoREVkFQR64k4VgtVnYI
170,Sparrow,"bar, restaurant, point_of_interest, food, establishment","9736 NE 120th Pl, Kirkland, WA 98034, USA",google_places,https://sparrowkirkland.com/,ChIJn2iCHs0TkFQR8WCSqC_efO4
171,Lockspot Cafe,"bar, restaurant, point_of_interest, food, establishment","3005 NW Locks Pl, Seattle, WA 98107, USA",google_places,https://www.thelockspot.com/,ChIJO942VsIVkFQRA3NXEvSjolY
172,Serendipity Cafe,"night_club, bar, cafe, restaurant, store, point_of_interest, food, establishment","3222A W McGraw St, Seattle, WA 98199, USA",google_places,http://www.serendipitycafeandlounge.com/,ChIJQ89z8YAVkFQRqUt6GXUppBg
174,Tapped Mukilteo,"restaurant, meal_takeaway, bar, point_of_interest, food, establishment","10809 Mukilteo Speedway, Mukilteo, WA 98275, USA",google_places,https://www.tappedpublichouse.com/,ChIJ_bvF2JMDkFQRE-pGhqMpUyc
175,The Dray,"bar, cafe, restaurant, store, point_of_interest, food, establishment","708 NW 65th St, Seattle, WA 98117, USA",google_places,http://thedray.com/,ChIJX1xU6jMUkFQRJri4uN7vU6g
178,Ezell's Famous Chicken,"restaurant, point_of_interest, food, establishment","3925 196th St SW, Lynnwood, WA 98036, USA",google_places,https://www.ezellschicken.com/,ChIJLYQJMWoFkFQRvPZeBoxsp2s
179,rachel’s ginger beer - u village,"bar, restaurant, point_of_interest, food, establishment","4626 26th Ave NE, Seattle, WA 98105, USA",google_places,http://rachelsgingerbeer.com/,ChIJ-xq6S48UkFQRtxK9xo82ji8
180,Outlier,"restaurant, bar, point_of_interest, food, establishment","1101 4th Ave, Seattle, WA 98101, USA",google_places,https://outlierseattle.com/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=gbreferral,ChIJj2myQ7FqkFQRgvcdiA41MEI
182,Crystal Creek Cafe,"bar, restaurant, point_of_interest, food, establishment","22620 Bothell Everett Hwy, Bothell, WA 98021, USA",google_places,http://crystalcreek.cafesinc.com/,ChIJuXBQ_gcPkFQR_fBq-9DqnxA
183,El Moose,"bar, restaurant, point_of_interest, food, establishment","5242 Leary Ave NW, Seattle, WA 98107, USA",google_places,https://www.elmoose.com/,ChIJrWoLyscVkFQRYS0WsbfjejU
185,Villa Escondida Restaurant and Bar,"bar, restaurant, point_of_interest, food, establishment","2203 1st Ave, Seattle, WA 98121, USA",google_places,http://villaescondidaseattle.com/,ChIJOzjfpk0VkFQRmRjtqDxmzlU
186,Human People Beer Cafe,"bar, cafe, restaurant, store, point_of_interest, food, establishment","6105a Roosevelt Way NE, Seattle, WA 98115, USA",google_places,http://www.humanpeoplebeer.com/,ChIJGR9QSQAVkFQR0n-lQDvO0Og
187,Game On NW,"bar, point_of_interest, establishment","1425 SE Everett Mall Way, Everett, WA 98208, USA",google_places,https://gameonnw.com/,ChIJg_E2qNgHkFQRMPEt3x7TSww
189,Bar Sur Mer,"bar, restaurant, point_of_interest, food, establishment","219 N 85th St, Seattle, WA 98103, USA",google_places,https://barsurmerseattle.com/,ChIJ16tEBMkVkFQRolR3QXlj_1g
190,Revelry Room,"bar, night_club, point_of_interest, establishment","4547 California Ave SW Suite B, Seattle, WA 98116, USA",google_places,http://revelryroom.com/,ChIJScb9S6lBkFQRMRhhG490YsA
804,Kirkland Bicycle,"bicycle_store, point_of_interest, store, establishment","208 Kirkland Ave, Kirkland, WA 98033, USA",google_places,https://www.kirklandbicycle.com/,ChIJ52pPe90SkFQRtZIqF6vqNTc
197,The Harp Bar and Restaurant,"bar, restaurant, point_of_interest, food, establishment","24437 Russell Rd #117, Kent, WA 98032, USA",google_places,,
198,Cafe on the Ave,"cafe, bar, restaurant, store, point_of_interest, food, establishment","4201 University Wy NE, Seattle, WA 98105, USA",google_places,,
206,District 4 Cafe,"cafe, restaurant, point_of_interest, food, store, establishment","5600 Roosevelt Way NE, Seattle, WA 98105, USA",google_places,,
207,La Pisa Cafe,"cafe, restaurant, point_of_interest, food, establishment","Concourse A, 17801 International Blvd, SeaTac, WA 98158, USA",google_places,,
208,Sahara Cafe Somali Cuisine,"cafe, restaurant, point_of_interest, food, establishment","13919 Tukwila International Blvd, Tukwila, WA 98168, USA",google_places,,
210,BAM Restaurant & Lounge,"restaurant, point_of_interest, food, establishment","2901 Perry Ave NE #10, Bremerton, WA 98310, USA",google_places,,
226,Cafe Solstice,"cafe, restaurant, point_of_interest, food, store, establishment","4116 University Wy NE, Seattle, WA 98105, USA",google_places,,
